symbol	assoc_subtype
CDKN1B	PN
EPB41	PN
CLGN	PN
PDE10A	PN
RALGPS2	PN
TAF5	PN
ACTR1A	PN
PELI1	PN
ZNF804A	PN
PPM1D	PN
RAD21	PN
SORCS3	PN
ALCAM	PN
PURG	PN
SLC1A1	PN
NR0B1	PN
FBXO21	PN
GADD45G	PN
GABRA3	PN
FHOD3	PN
TMSL8	PN
LRRTM4	PN
PAFAH1B3	PN
FAM110B	PN
REEP1	PN
SNX26	PN
LRP6	PN
C1QL1	PN
TMCC1	PN
GSK3B	PN
MMP16	PN
LPHN3	PN
DLL3	PN
SEC61A2	PN
ICK	PN
RAP2A	PN
ZNF286A	PN
FAM125B	PN
ZEB2	PN
AMOTL2	PN
NKX2-2	PN
TTC3	PN
TOP2B	PN
SCN3A	PN
TOX3	PN
MLLT11	PN
RALGPS1	PN
GSTA4	PN
DGKI	PN
MTSS1	PN
SATB1	PN
KIF21B	PN
PODXL2	PN
CRMP1	PN
GNG4	PN
MYT1	PN
BCL7A	PN
CHD7	PN
SOX4	PN
SOX11	PN
DCX	PN
C6orf134	PN
FAM77C	PN
MARCKSL1	PN
C1orf106	PN
DBN1	PN
DPYSL4	PN
TMEFF1	PN
STMN4	PN
DUSP26	PN
PAK7	PN
PAK3	PN
MAST1	PN
TNRC4	PN
CDK5R1	PN
ATP1A3	PN
FGF9	PN
WASF1	PN
CA10	PN
RP11-35N6.1	PN
SOX10	PN
ERBB3	PN
RAB33A	PN
IL1RAPL1	PN
DNM3	PN
GPR17	PN
CLASP2	PN
PPM1E	PN
STMN1	PN
FLRT1	PN
EPHB1	PN
HDAC2	PN
PHF16	PN
LOC81691	PN
CDC7	PN
MYB	PN
MCM10	PN
ATAD5	PN
HMGB3	PN
CDC25A	PN
TOPBP1	PN
HN1	PN
AOF2	PN
SLCO5A1	PN
NOL4	PN
YPEL1	PN
CXXC4	PN
ZNF643	PN
KLRK1	PN
KLRC4	PN
KLRC3	PN
PCDH11Y	PN
PCDH11X	PN
HRASLS	PN
KIAA1166	PN
ZNF184	PN
CASK	PN
ZNF711	PN
ZNF510	PN
WDR68	PN
MYST2	PN
CBX1	PN
CAMSAP1L1	PN
HOXD3	PN
MATR3	PN
TMEM118	PN
LOC55565	PN
VAX2	PN
TMEM35	PN
NRXN1	PN
SPTBN2	PN
NCALD	PN
SOX2	PN
SCG3	PN
TTYH1	PN
C1orf61	PN
GPM6A	PN
DPF1	PN
RUFY3	PN
NRXN2	PN
NCAM1	PN
MAPT	PN
SRGAP3	PN
FXYD6	PN
ABAT	PN
PHLPP	PN
OLIG2	PN
MAP2	PN
BCAN	PN
NLGN3	PN
CSPG5	PN
DPP6	PN
MYO10	PN
BAI3	PN
ASCL1	PN
SEZ6L	PN
CKB	PN
CRB1	PN
GRIA2	PN
ARHGEF9	PN
VEZF1	PN
MMP15	PN
MARCKS	PN
BEX1	PN
CNTN1	PN
E2F3	PN
RBPJ	PN
BCOR	PN
P2RX7	PN
C20orf42	PN
CSNK1E	PN
ZNF248	PN
PLCB4	PN
PFN2	PN
GPR23	PN
GRID2	PN
